"Case","No","Task","CC1","GN1","NS1","BU1","FA1","LD1","BZ1","FC1","FP1","RP1","PP1","KA1","SC1","TS1","NV1","MA1","LB1","AF1","HU1","Price1","CC2","GN2","NS2","BU2","FA2","LD2","BZ2","FC2","FP2","RP2","PP2","KA2","SC2","TS2","NV2","MA2","LB2","AF2","HU2","Price2","CC3","GN3","NS3","BU3","FA3","LD3","BZ3","FC3","FP3","RP3","PP3","KA3","SC3","TS3","NV3","MA3","LB3","AF3","HU3","Price3","CC4","GN4","NS4","BU4","FA4","LD4","BZ4","FC4","FP4","RP4","PP4","KA4","SC4","TS4","NV4","MA4","LB4","AF4","HU4","Price4","segmentFull.size.Pickup","segmentMidsize.Car","segmentMidsize.Luxury.Utility.segements","segmentMidsize.Utility","segmentPrestige.Luxury.Sedan","yearind","milesa","nighta","pparkDaily","pparkMonthly","pparkWeekly","pparkYearly","genderMale","agea","educCollege.Graduate..4.Years.","educGrade.School","educHigh.School","educPostgraduate.College","educSome.College..1.3.Years.","regionMW","regionNE","regionSE","regionSW","UrbRural.Country","UrbUrban.City","incomea","Choice"
3,46,8,0,0,3,3,2,2,3,2,4,0,0,0,0,0,1,0,0,3,0,7,0,0,4,5,2,2,2,1,2,0,0,0,0,0,1,0,0,1,0,9,0,0,5,6,1,1,3,2,3,0,0,0,0,0,2,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,160,2,0,0,0,0,0,45,0,0,0,0,1,0,0,1,0,1,0,35000,2
3,48,10,0,2,0,0,2,2,0,0,4,2,0,1,0,3,3,4,0,0,0,10,0,2,0,0,2,3,0,0,2,2,0,1,0,3,2,1,0,0,0,2,0,1,0,0,2,2,0,0,1,2,0,2,0,2,3,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,160,2,0,0,0,0,0,45,0,0,0,0,1,0,0,1,0,1,0,35000,1
3,50,12,3,0,2,0,0,1,0,1,2,2,0,0,0,0,0,4,3,2,0,11,1,0,2,0,0,1,0,2,4,1,0,0,0,0,0,1,4,2,0,1,3,0,5,0,0,2,0,1,2,1,0,0,0,0,0,1,2,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,160,2,0,0,0,0,0,45,0,0,0,0,1,0,0,1,0,1,0,35000,2
4,66,9,1,0,2,0,2,0,1,1,0,0,0,2,4,0,0,4,0,1,0,11,2,0,1,0,1,0,1,1,0,0,0,1,4,0,0,1,0,1,0,9,2,0,4,0,2,0,1,2,0,0,0,1,1,0,0,1,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,750,10,0,0,1,0,1,40,1,0,0,0,0,0,0,1,0,0,1,165000,4
4,76,19,1,0,0,0,0,0,1,0,4,0,0,1,0,2,3,0,1,1,2,3,3,0,0,0,0,0,2,0,2,0,0,2,0,3,1,0,4,2,1,10,3,0,0,0,0,0,1,0,4,0,0,1,0,3,1,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,750,10,0,0,1,0,1,40,1,0,0,0,0,0,0,1,0,0,1,165000,3
5,79,3,2,1,1,4,0,0,3,0,0,2,0,0,3,0,0,0,4,0,2,10,3,2,1,6,0,0,2,0,0,1,0,0,4,0,0,0,3,0,2,12,3,1,1,3,0,0,1,0,0,2,0,0,4,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,50,20,0,0,0,0,1,56,0,0,0,0,0,1,0,0,0,0,1,28000,1
5,81,5,3,1,3,0,1,1,1,1,4,0,0,2,0,0,0,0,0,0,0,5,3,2,2,0,1,3,1,1,2,0,0,1,0,0,0,0,0,0,0,3,3,1,2,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,50,20,0,0,0,0,1,56,0,0,0,0,0,1,0,0,0,0,1,28000,2
5,83,7,0,2,0,0,2,0,0,0,0,2,1,2,4,2,2,0,0,0,2,4,0,1,0,0,1,0,0,0,0,2,3,1,2,3,3,0,0,0,2,12,0,2,0,0,1,0,0,0,0,1,3,2,4,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,50,20,0,0,0,0,1,56,0,0,0,0,0,1,0,0,0,0,1,28000,4
5,87,11,0,2,4,0,0,2,0,2,0,0,0,1,0,3,2,4,2,0,0,8,0,2,4,0,0,3,0,2,0,0,0,2,0,2,3,3,4,0,0,12,0,2,4,0,0,3,0,2,0,0,0,1,0,3,3,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,50,20,0,0,0,0,1,56,0,0,0,0,0,1,0,0,0,0,1,28000,4
5,89,13,0,0,0,0,1,2,2,0,1,2,2,2,0,0,0,0,1,2,0,7,0,0,0,0,2,3,2,0,3,1,2,1,0,0,0,0,2,3,0,12,0,0,0,0,1,3,2,0,4,1,3,1,0,0,0,0,4,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,50,20,0,0,0,0,1,56,0,0,0,0,0,1,0,0,0,0,1,28000,1
5,91,15,2,1,5,0,0,0,3,0,0,0,0,1,0,0,2,2,0,3,1,6,2,2,3,0,0,0,1,0,0,0,0,1,0,0,2,3,0,1,1,5,1,2,5,0,0,0,1,0,0,0,0,2,0,0,3,3,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,50,20,0,0,0,0,1,56,0,0,0,0,0,1,0,0,0,0,1,28000,2
5,92,16,2,2,0,5,1,1,2,0,4,0,0,0,0,2,0,2,0,0,0,12,2,1,0,2,2,3,1,0,4,0,0,0,0,1,0,4,0,0,0,7,2,2,0,4,1,2,3,0,4,0,0,0,0,2,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,50,20,0,0,0,0,1,56,0,0,0,0,0,1,0,0,0,0,1,28000,2
6,96,1,0,0,0,2,0,0,1,2,4,0,1,0,2,0,0,1,2,1,0,6,0,0,0,6,0,0,2,2,4,0,3,0,2,0,0,4,3,3,0,10,0,0,0,5,0,0,1,1,4,0,1,0,2,0,0,4,3,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,42,0,0,0,0,0,20,0,0,0,0,1,1,0,0,0,0,1,60000,1
6,97,2,3,0,3,3,1,3,0,0,0,1,0,1,0,0,3,0,0,0,2,5,1,0,5,4,2,2,0,0,0,2,0,1,0,0,3,0,0,0,2,10,2,0,5,6,1,3,0,0,0,1,0,2,0,0,3,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,42,0,0,0,0,0,20,0,0,0,0,1,1,0,0,0,0,1,60000,3
6,105,10,0,1,0,0,0,0,1,2,0,1,0,2,0,0,2,0,2,1,1,4,0,2,0,0,0,0,1,2,0,2,0,2,0,0,2,0,4,3,1,11,0,2,0,0,0,0,2,2,0,2,0,2,0,0,3,0,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,42,0,0,0,0,0,20,0,0,0,0,1,1,0,0,0,0,1,60000,1
7,115,1,0,2,2,0,2,0,1,1,0,2,0,1,0,2,0,1,0,0,0,11,0,2,2,0,2,0,1,2,0,2,0,1,0,3,0,2,0,0,0,8,0,1,4,0,2,0,3,2,0,1,0,2,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,25,40,0,1,0,0,0,40,1,0,0,0,0,0,0,0,0,0,1,25000,3
7,116,2,1,0,0,2,0,2,0,0,3,0,3,0,2,0,3,0,0,2,2,9,1,0,0,1,0,1,0,0,2,0,3,0,4,0,3,0,0,1,1,5,1,0,0,6,0,2,0,0,1,0,2,0,4,0,1,0,0,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,25,40,0,1,0,0,0,40,1,0,0,0,0,0,0,0,0,0,1,25000,1
7,127,13,3,0,5,0,1,0,0,1,2,0,2,0,0,0,1,2,0,3,0,3,3,0,2,0,1,0,0,1,2,0,1,0,0,0,1,2,0,3,0,6,3,0,3,0,1,0,0,2,2,0,2,0,0,0,1,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,25,40,0,1,0,0,0,40,1,0,0,0,0,0,0,0,0,0,1,25000,1
8,137,4,3,1,3,0,0,0,3,0,0,1,2,1,4,0,0,0,4,0,0,12,3,2,4,0,0,0,1,0,0,1,2,1,1,0,0,0,1,0,0,11,3,1,3,0,0,0,3,0,0,2,1,2,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,50,30,1,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,1,50000,3
8,141,8,2,1,0,0,0,0,0,0,1,1,0,2,0,1,0,1,4,2,0,12,1,2,0,0,0,0,0,0,4,2,0,2,0,3,0,2,4,1,0,12,3,1,0,0,0,0,0,0,2,2,0,2,0,3,0,1,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,50,30,1,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,1,50000,3
8,142,9,3,0,4,3,0,2,0,0,0,1,2,1,0,0,1,0,0,0,1,12,2,0,2,4,0,2,0,0,0,2,3,1,0,0,3,0,0,0,1,11,3,0,4,4,0,2,0,0,0,1,1,1,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,50,30,1,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,1,50000,3
8,149,16,0,2,0,6,2,0,1,2,4,1,2,0,0,3,0,0,0,0,0,8,0,2,0,2,2,0,3,1,1,1,1,0,0,3,0,0,0,0,0,5,0,1,0,6,1,0,1,2,2,2,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,50,30,1,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,1,50000,2
8,152,19,0,0,2,0,0,0,2,1,0,0,3,0,1,0,2,1,3,2,0,12,0,0,1,0,0,0,3,2,0,0,1,0,4,0,3,3,4,1,0,6,0,0,5,0,0,0,3,2,0,0,2,0,3,0,2,4,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,50,30,1,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,1,50000,1
9,154,2,0,0,0,4,0,0,1,1,4,1,0,0,2,0,3,3,3,0,0,9,0,0,0,2,0,0,3,1,1,1,0,0,3,0,1,4,1,0,0,7,0,0,0,3,0,0,1,1,4,1,0,0,2,0,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,120,40,0,1,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,98000,3
9,158,6,2,0,0,6,1,0,0,2,1,0,0,0,2,3,0,4,0,0,1,6,3,0,0,3,1,0,0,1,4,0,0,0,4,1,0,2,0,0,2,6,3,0,0,4,2,0,0,1,4,0,0,0,1,2,0,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,120,40,0,1,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,98000,3
9,160,8,3,1,1,5,0,3,0,0,4,2,2,0,0,0,0,0,1,0,0,4,3,1,5,5,0,2,0,0,4,2,2,0,0,0,0,0,1,0,0,5,2,2,2,2,0,2,0,0,4,2,2,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,120,40,0,1,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,98000,1
9,164,12,0,0,0,5,1,1,0,0,0,2,0,2,0,1,0,3,4,0,2,4,0,0,0,6,1,2,0,0,0,1,0,1,0,1,0,2,1,0,1,7,0,0,0,5,2,3,0,0,0,2,0,2,0,3,0,2,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,120,40,0,1,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,98000,4
10,186,15,0,0,1,0,2,0,0,0,3,2,0,2,2,0,0,3,3,3,0,2,0,0,2,0,2,0,0,0,3,1,0,2,2,0,0,2,4,1,0,1,0,0,3,0,1,0,0,0,1,2,0,1,4,0,0,4,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,500,75,1,0,0,0,1,22,0,0,0,0,1,1,0,0,0,0,0,38000,2
11,191,1,0,0,0,0,0,2,0,0,0,2,0,1,2,3,3,3,4,0,2,1,0,0,0,0,0,1,0,0,0,2,0,2,1,2,1,4,1,0,1,6,0,0,0,0,0,2,0,0,0,1,0,2,2,1,3,3,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,150,5,0,0,0,0,0,56,0,0,1,0,0,0,0,0,1,0,0,34000,2
11,192,2,1,0,1,2,2,0,1,2,3,0,1,0,0,0,0,0,0,3,0,8,3,0,3,6,1,0,1,1,3,0,3,0,0,0,0,0,0,2,0,5,1,0,4,6,2,0,3,1,4,0,1,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,150,5,0,0,0,0,0,56,0,0,1,0,0,0,0,0,1,0,0,34000,3
11,196,6,0,2,0,5,1,2,1,0,3,0,0,0,3,1,0,0,1,0,0,9,0,2,0,2,2,2,3,0,4,0,0,0,2,2,0,0,1,0,0,2,0,1,0,6,2,1,1,0,3,0,0,0,2,1,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,150,5,0,0,0,0,0,56,0,0,1,0,0,0,0,0,1,0,0,34000,1
11,204,14,3,0,0,1,0,0,0,2,1,1,2,0,3,2,0,4,0,0,0,8,3,0,0,4,0,0,0,1,3,1,3,0,3,3,0,2,0,0,0,12,2,0,0,4,0,0,0,1,1,2,3,0,1,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,150,5,0,0,0,0,0,56,0,0,1,0,0,0,0,0,1,0,0,34000,3
12,210,1,0,1,1,0,0,2,1,2,2,0,2,0,0,0,1,0,0,1,0,6,0,1,2,0,0,3,2,2,2,0,1,0,0,0,1,0,0,2,0,5,0,1,4,0,0,3,1,1,2,0,2,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,200,10,0,0,0,1,0,36,0,0,0,1,0,0,0,0,0,0,0,38000,1
12,216,7,0,1,2,0,2,0,0,1,4,0,2,1,0,1,0,2,0,0,0,9,0,1,2,0,2,0,0,1,4,0,3,1,0,2,0,4,0,0,0,12,0,1,2,0,1,0,0,1,1,0,2,1,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,200,10,0,0,0,1,0,36,0,0,0,1,0,0,0,0,0,0,0,38000,3
12,219,10,0,1,2,0,0,0,0,0,2,0,2,2,1,0,1,0,3,0,2,9,0,2,1,0,0,0,0,0,4,0,2,2,2,0,1,0,3,0,2,5,0,1,4,0,0,0,0,0,3,0,2,1,2,0,3,0,3,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,200,10,0,0,0,1,0,36,0,0,0,1,0,0,0,0,0,0,0,38000,2
12,225,16,0,0,1,0,1,3,0,0,0,0,2,0,0,2,2,2,2,0,2,6,0,0,2,0,1,2,0,0,0,0,3,0,0,3,2,2,4,0,1,10,0,0,4,0,2,3,0,0,0,0,2,0,0,2,3,4,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,200,10,0,0,0,1,0,36,0,0,0,1,0,0,0,0,0,0,0,38000,1
13,229,1,0,2,0,0,1,2,3,0,3,1,0,1,1,0,0,0,0,0,1,12,0,2,0,0,2,2,1,0,1,2,0,1,4,0,0,0,0,0,1,1,0,2,0,0,2,2,1,0,1,1,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,50,50,0,0,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,55000,4
13,233,5,3,2,3,0,1,1,2,0,0,2,1,0,0,3,0,0,0,0,0,4,1,2,4,0,2,3,2,0,0,1,3,0,0,1,0,0,0,0,0,10,2,2,2,0,2,2,1,0,0,1,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,50,50,0,0,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,55000,4
13,234,6,0,0,2,2,0,2,0,0,3,0,0,0,4,0,0,1,3,3,2,3,0,0,5,3,0,3,0,0,2,0,0,0,3,0,0,1,2,1,2,11,0,0,2,3,0,2,0,0,2,0,0,0,4,0,0,2,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,50,50,0,0,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,55000,4
13,236,8,0,1,2,0,1,0,0,2,0,0,0,1,2,0,1,0,1,0,1,5,0,1,2,0,2,0,0,2,0,0,0,2,4,0,3,0,4,0,2,8,0,1,5,0,1,0,0,2,0,0,0,2,3,0,1,0,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,50,50,0,0,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,55000,4
13,240,12,0,0,0,0,0,0,2,2,3,2,1,0,4,3,0,1,2,0,0,7,0,0,0,0,0,0,2,2,1,1,3,0,1,3,0,3,2,0,0,6,0,0,0,0,0,0,3,2,3,1,2,0,3,1,0,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,50,50,0,0,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,55000,4
13,247,19,0,0,5,0,0,0,2,0,1,2,0,1,0,0,3,2,1,0,2,10,0,0,5,0,0,0,2,0,2,1,0,2,0,0,1,3,4,0,1,1,0,0,4,0,0,0,3,0,3,2,0,2,0,0,1,1,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,50,50,0,0,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,55000,2
14,250,3,0,2,0,0,1,0,0,2,2,2,0,2,1,0,0,0,1,0,2,8,0,1,0,0,1,0,0,1,3,1,0,2,2,0,0,0,4,0,1,6,0,2,0,0,1,0,0,1,2,1,0,1,4,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,300,40,0,1,0,0,1,54,0,0,0,1,0,1,0,0,0,0,0,85000,3
14,251,4,1,1,0,5,0,1,1,0,0,0,0,0,0,2,3,3,0,1,0,3,3,1,0,5,0,2,2,0,0,0,0,0,0,2,3,2,0,1,0,5,2,1,0,6,0,3,1,0,0,0,0,0,0,1,1,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,300,40,0,1,0,0,1,54,0,0,0,1,0,1,0,0,0,0,0,85000,1
14,263,16,0,0,3,0,2,3,0,2,0,2,3,0,0,3,2,4,0,0,0,9,0,0,3,0,2,1,0,2,0,1,3,0,0,1,1,1,0,0,0,3,0,0,1,0,2,3,0,2,0,2,1,0,0,1,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,300,40,0,1,0,0,1,54,0,0,0,1,0,1,0,0,0,0,0,85000,2
15,267,1,1,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,2,10,1,2,0,0,0,1,1,0,2,0,0,2,0,0,0,2,4,0,1,6,3,1,0,0,0,1,3,0,3,0,0,1,0,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,300,25,0,0,1,0,1,37,1,0,0,0,0,0,0,0,1,0,0,99000,2
15,271,5,1,0,4,0,0,0,0,2,0,1,0,2,0,0,2,3,1,2,0,4,2,0,2,0,0,0,0,1,0,2,0,1,0,0,2,2,3,3,0,1,2,0,1,0,0,0,0,1,0,1,0,2,0,0,3,4,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,300,25,0,0,1,0,1,37,1,0,0,0,0,0,0,0,1,0,0,99000,1
15,281,15,0,2,0,6,0,2,1,1,0,0,1,0,2,0,0,0,3,2,0,3,0,2,0,2,0,2,3,2,0,0,3,0,1,0,0,0,4,3,0,5,0,1,0,1,0,1,1,2,0,0,3,0,2,0,0,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,300,25,0,0,1,0,1,37,1,0,0,0,0,0,0,0,1,0,0,99000,1
