"Case","No","Task","CC1","GN1","NS1","BU1","FA1","LD1","BZ1","FC1","FP1","RP1","PP1","KA1","SC1","TS1","NV1","MA1","LB1","AF1","HU1","Price1","CC2","GN2","NS2","BU2","FA2","LD2","BZ2","FC2","FP2","RP2","PP2","KA2","SC2","TS2","NV2","MA2","LB2","AF2","HU2","Price2","CC3","GN3","NS3","BU3","FA3","LD3","BZ3","FC3","FP3","RP3","PP3","KA3","SC3","TS3","NV3","MA3","LB3","AF3","HU3","Price3","CC4","GN4","NS4","BU4","FA4","LD4","BZ4","FC4","FP4","RP4","PP4","KA4","SC4","TS4","NV4","MA4","LB4","AF4","HU4","Price4","segment","segmentind","year","yearind","miles","milesind","milesa","night","nightind","nighta","ppark","pparkind","gender","genderind","age","ageind","agea","educ","educind","region","regionind","Urb","Urbind","income","incomeind","incomea","Choice"
4,65,8,3,0,2,0,0,1,0,0,4,2,1,0,2,0,2,0,2,0,0,7,3,0,1,0,0,3,0,0,3,2,2,0,3,0,3,0,2,0,0,10,3,0,1,0,0,2,0,0,3,2,1,0,3,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2000,1,"Over 400 Miles",9,750,"Under 10%",1,10,"Weekly",4,"Male",2,"40 To 49",3,40,"College Graduate (4 Years)",1,"SE",3,"Urban/City",3,"$160,000 to $169,999",15,165000,3
4,67,10,0,1,0,0,0,1,3,0,0,0,1,1,0,0,2,0,3,3,1,1,0,2,0,0,0,3,1,0,0,0,2,2,0,0,2,0,4,3,1,10,0,1,0,0,0,3,3,0,0,0,3,1,0,0,3,0,2,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2000,1,"Over 400 Miles",9,750,"Under 10%",1,10,"Weekly",4,"Male",2,"40 To 49",3,40,"College Graduate (4 Years)",1,"SE",3,"Urban/City",3,"$160,000 to $169,999",15,165000,1
4,71,14,1,0,0,6,2,3,0,0,3,0,2,0,2,0,0,0,0,1,2,4,1,0,0,6,2,3,0,0,2,0,2,0,1,0,0,0,0,3,1,2,3,0,0,2,2,3,0,0,3,0,1,0,3,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2000,1,"Over 400 Miles",9,750,"Under 10%",1,10,"Weekly",4,"Male",2,"40 To 49",3,40,"College Graduate (4 Years)",1,"SE",3,"Urban/City",3,"$160,000 to $169,999",15,165000,2
4,73,16,3,0,2,6,2,0,2,0,0,0,1,0,0,3,1,0,4,0,0,12,3,0,5,5,2,0,3,0,0,0,2,0,0,2,2,0,3,0,0,7,3,0,3,6,1,0,1,0,0,0,3,0,0,2,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2000,1,"Over 400 Miles",9,750,"Under 10%",1,10,"Weekly",4,"Male",2,"40 To 49",3,40,"College Graduate (4 Years)",1,"SE",3,"Urban/City",3,"$160,000 to $169,999",15,165000,2
4,74,17,0,2,0,4,0,0,0,2,2,2,0,2,2,0,0,4,0,1,0,6,0,1,0,6,0,0,0,2,4,1,0,2,3,0,0,4,0,1,0,4,0,1,0,4,0,0,0,2,3,2,0,2,3,0,0,2,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2000,1,"Over 400 Miles",9,750,"Under 10%",1,10,"Weekly",4,"Male",2,"40 To 49",3,40,"College Graduate (4 Years)",1,"SE",3,"Urban/City",3,"$160,000 to $169,999",15,165000,2
4,75,18,0,2,2,0,2,3,0,2,0,1,2,0,2,0,0,4,0,0,0,10,0,1,1,0,2,2,0,1,0,2,1,0,4,0,0,4,0,0,0,7,0,1,4,0,1,2,0,2,0,1,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2000,1,"Over 400 Miles",9,750,"Under 10%",1,10,"Weekly",4,"Male",2,"40 To 49",3,40,"College Graduate (4 Years)",1,"SE",3,"Urban/City",3,"$160,000 to $169,999",15,165000,3
5,78,2,1,0,0,0,0,2,2,0,0,2,2,2,3,2,0,4,0,0,0,6,1,0,0,0,0,2,3,0,0,2,3,1,4,3,0,2,0,0,0,5,3,0,0,0,0,1,1,0,0,2,2,2,3,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2005,6,"Under 50 Miles",1,50,"10% To 20%",2,20,"Never",3,"Male",2,"50 To 59",4,56,"Trade/Vocational School",6,"MW",1,"Urban/City",3,"Under $29,999",1,28000,1
5,84,8,0,0,3,2,0,1,3,0,3,0,2,0,3,0,0,4,0,0,1,10,0,0,1,3,0,2,1,0,3,0,3,0,4,0,0,4,0,0,1,1,0,0,4,3,0,2,2,0,2,0,3,0,4,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2005,6,"Under 50 Miles",1,50,"10% To 20%",2,20,"Never",3,"Male",2,"50 To 59",4,56,"Trade/Vocational School",6,"MW",1,"Urban/City",3,"Under $29,999",1,28000,2
5,86,10,3,0,3,0,1,0,0,0,1,2,0,0,0,2,0,2,0,1,2,8,1,0,3,0,1,0,0,0,4,1,0,0,0,1,0,1,0,3,1,11,3,0,4,0,2,0,0,0,1,1,0,0,0,2,0,4,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2005,6,"Under 50 Miles",1,50,"10% To 20%",2,20,"Never",3,"Male",2,"50 To 59",4,56,"Trade/Vocational School",6,"MW",1,"Urban/City",3,"Under $29,999",1,28000,1
5,95,19,3,2,0,5,2,0,0,0,0,1,2,2,0,0,0,0,1,0,1,4,1,2,0,5,1,0,0,0,0,2,1,1,0,0,0,0,3,0,1,12,1,2,0,4,1,0,0,0,0,2,2,1,0,0,0,0,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2005,6,"Under 50 Miles",1,50,"10% To 20%",2,20,"Never",3,"Male",2,"50 To 59",4,56,"Trade/Vocational School",6,"MW",1,"Urban/City",3,"Under $29,999",1,28000,4
6,100,5,0,0,5,6,0,3,0,0,0,0,2,2,3,3,0,0,4,0,1,10,0,0,1,2,0,3,0,0,0,0,3,2,4,1,0,0,1,0,1,5,0,0,4,2,0,3,0,0,0,0,3,2,2,2,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"51 To 100 Miles",2,100,"41% To 50%",5,42,"Never",3,"Female",1,"Under 30",1,20,"Some College (1-3 Years)",5,"MW",1,"Urban/City",3,"$60,000 to $69,999",5,60000,3
6,102,7,0,2,0,5,1,0,0,2,0,1,0,0,2,1,0,2,0,2,0,10,0,1,0,4,1,0,0,1,0,1,0,0,3,3,0,3,0,1,0,10,0,2,0,6,2,0,0,1,0,2,0,0,3,3,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"51 To 100 Miles",2,100,"41% To 50%",5,42,"Never",3,"Female",1,"Under 30",1,20,"Some College (1-3 Years)",5,"MW",1,"Urban/City",3,"$60,000 to $69,999",5,60000,2
6,110,15,2,0,0,0,0,2,2,0,3,2,0,2,3,0,0,1,0,3,0,9,2,0,0,0,0,2,3,0,4,1,0,1,1,0,0,1,0,3,0,11,2,0,0,0,0,3,2,0,1,1,0,1,3,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"51 To 100 Miles",2,100,"41% To 50%",5,42,"Never",3,"Female",1,"Under 30",1,20,"Some College (1-3 Years)",5,"MW",1,"Urban/City",3,"$60,000 to $69,999",5,60000,3
6,111,16,0,0,1,2,1,0,0,1,2,2,0,0,3,0,0,0,3,0,2,8,0,0,5,1,1,0,0,2,3,2,0,0,4,0,0,0,2,0,1,7,0,0,1,1,2,0,0,2,4,1,0,0,4,0,0,0,4,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"51 To 100 Miles",2,100,"41% To 50%",5,42,"Never",3,"Female",1,"Under 30",1,20,"Some College (1-3 Years)",5,"MW",1,"Urban/City",3,"$60,000 to $69,999",5,60000,1
7,116,2,1,0,0,2,0,2,0,0,3,0,3,0,2,0,3,0,0,2,2,9,1,0,0,1,0,1,0,0,2,0,3,0,4,0,3,0,0,1,1,5,1,0,0,6,0,2,0,0,1,0,2,0,4,0,1,0,0,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Car",2,2003,4,"Under 50 Miles",1,25,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,40,"College Graduate (4 Years)",1,"W",5,"Urban/City",3,"Under $29,999",1,25000,1
7,117,3,3,2,0,6,0,0,0,1,0,0,2,0,3,1,0,3,1,0,0,5,2,2,0,2,0,0,0,1,0,0,3,0,4,1,0,4,3,0,0,9,3,2,0,2,0,0,0,2,0,0,1,0,1,1,0,2,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Car",2,2003,4,"Under 50 Miles",1,25,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,40,"College Graduate (4 Years)",1,"W",5,"Urban/City",3,"Under $29,999",1,25000,3
7,119,5,0,1,4,0,0,3,0,1,2,0,0,2,0,2,1,0,0,0,1,1,0,1,3,0,0,2,0,1,2,0,0,1,0,1,2,0,0,0,2,5,0,2,2,0,0,2,0,1,3,0,0,1,0,2,2,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Car",2,2003,4,"Under 50 Miles",1,25,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,40,"College Graduate (4 Years)",1,"W",5,"Urban/City",3,"Under $29,999",1,25000,1
7,124,10,3,2,0,0,2,0,1,2,3,0,0,0,0,0,1,0,3,0,1,4,1,2,0,0,1,0,1,2,4,0,0,0,0,0,1,0,1,0,1,3,3,2,0,0,1,0,2,1,3,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Car",2,2003,4,"Under 50 Miles",1,25,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,40,"College Graduate (4 Years)",1,"W",5,"Urban/City",3,"Under $29,999",1,25000,3
7,132,18,2,0,0,0,1,0,2,0,0,0,3,2,1,1,0,4,0,0,1,10,3,0,0,0,1,0,1,0,0,0,3,1,3,1,0,1,0,0,2,7,2,0,0,0,1,0,2,0,0,0,3,1,2,3,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Car",2,2003,4,"Under 50 Miles",1,25,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,40,"College Graduate (4 Years)",1,"W",5,"Urban/City",3,"Under $29,999",1,25000,2
8,140,7,0,0,0,0,2,2,2,1,0,1,2,0,2,0,2,0,3,0,0,11,0,0,0,0,2,2,2,1,0,2,3,0,3,0,3,0,4,0,0,11,0,0,0,0,1,1,2,1,0,2,1,0,1,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prestige Luxury Sedan",5,2005,6,"Under 50 Miles",1,50,"21% To 30%",3,30,"Daily",1,"Female",1,"Under 30",1,22,"High School",3,"W",5,"Urban/City",3,"$50,000 to $59,999",4,50000,4
8,145,12,0,0,4,0,1,0,3,0,0,1,3,1,0,0,0,1,0,2,2,6,0,0,5,0,1,0,2,0,0,2,1,2,0,0,0,4,0,2,2,8,0,0,4,0,1,0,1,0,0,1,2,2,0,0,0,2,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prestige Luxury Sedan",5,2005,6,"Under 50 Miles",1,50,"21% To 30%",3,30,"Daily",1,"Female",1,"Under 30",1,22,"High School",3,"W",5,"Urban/City",3,"$50,000 to $59,999",4,50000,4
8,150,17,0,0,4,0,0,2,0,0,0,0,0,1,3,2,2,4,0,1,1,8,0,0,4,0,0,1,0,0,0,0,0,1,3,3,2,4,0,1,1,5,0,0,3,0,0,1,0,0,0,0,0,1,2,3,3,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prestige Luxury Sedan",5,2005,6,"Under 50 Miles",1,50,"21% To 30%",3,30,"Daily",1,"Female",1,"Under 30",1,22,"High School",3,"W",5,"Urban/City",3,"$50,000 to $59,999",4,50000,2
8,152,19,0,0,2,0,0,0,2,1,0,0,3,0,1,0,2,1,3,2,0,12,0,0,1,0,0,0,3,2,0,0,1,0,4,0,3,3,4,1,0,6,0,0,5,0,0,0,3,2,0,0,2,0,3,0,2,4,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prestige Luxury Sedan",5,2005,6,"Under 50 Miles",1,50,"21% To 30%",3,30,"Daily",1,"Female",1,"Under 30",1,22,"High School",3,"W",5,"Urban/City",3,"$50,000 to $59,999",4,50000,1
9,154,2,0,0,0,4,0,0,1,1,4,1,0,0,2,0,3,3,3,0,0,9,0,0,0,2,0,0,3,1,1,1,0,0,3,0,1,4,1,0,0,7,0,0,0,3,0,0,1,1,4,1,0,0,2,0,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2004,5,"101 To 150 Miles",3,120,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,45,"Trade/Vocational School",6,"SE",3,"Suburban",2,"$90,000 to $99,999",8,98000,3
9,156,4,0,1,0,6,2,2,1,0,4,0,0,0,0,1,0,0,3,3,0,11,0,2,0,1,1,1,2,0,1,0,0,0,0,2,0,0,2,3,0,1,0,1,0,4,2,2,1,0,4,0,0,0,0,1,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2004,5,"101 To 150 Miles",3,120,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,45,"Trade/Vocational School",6,"SE",3,"Suburban",2,"$90,000 to $99,999",8,98000,2
9,159,7,0,1,0,0,0,0,2,0,0,2,2,1,2,2,0,3,0,1,0,4,0,1,0,0,0,0,2,0,0,2,3,1,4,2,0,1,0,2,0,6,0,1,0,0,0,0,2,0,0,2,3,2,4,3,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2004,5,"101 To 150 Miles",3,120,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,45,"Trade/Vocational School",6,"SE",3,"Suburban",2,"$90,000 to $99,999",8,98000,1
9,168,16,2,0,0,0,2,3,2,0,0,1,3,0,0,1,3,4,0,0,0,8,3,0,0,0,1,2,2,0,0,2,3,0,0,2,2,3,0,0,0,7,1,0,0,0,1,1,2,0,0,1,2,0,0,1,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2004,5,"101 To 150 Miles",3,120,"31% To 40%",4,40,"Monthly",2,"Female",1,"40 To 49",3,45,"Trade/Vocational School",6,"SE",3,"Suburban",2,"$90,000 to $99,999",8,98000,3
10,176,5,1,0,0,1,2,2,0,1,0,0,0,1,0,3,1,2,0,0,0,7,2,0,0,1,2,1,0,2,0,0,0,2,0,3,1,1,0,0,0,5,1,0,0,5,2,3,0,2,0,0,0,2,0,3,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2004,5,"Over 400 Miles",9,500,"71% To 80%",8,75,"Daily",1,"Male",2,"Under 30",1,22,"Some College (1-3 Years)",5,"MW",1,"Suburban",2,"$30,000 to $39,999",2,38000,4
10,185,14,2,2,0,6,0,3,1,2,0,1,1,0,0,0,2,0,0,0,0,8,3,1,0,5,0,3,1,1,0,2,2,0,0,0,3,0,0,0,0,7,3,2,0,4,0,2,2,2,0,1,1,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Full-size Pickup",1,2004,5,"Over 400 Miles",9,500,"71% To 80%",8,75,"Daily",1,"Male",2,"Under 30",1,22,"Some College (1-3 Years)",5,"MW",1,"Suburban",2,"$30,000 to $39,999",2,38000,4
11,205,15,0,2,3,2,2,1,2,0,0,0,0,1,0,0,2,0,3,0,0,3,0,2,5,6,2,1,1,0,0,0,0,2,0,0,1,0,1,0,0,9,0,1,3,1,1,3,2,0,0,0,0,2,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Utility",4,2003,4,"101 To 150 Miles",3,150,"Under 10%",1,5,"Never",3,"Female",1,"50 To 59",4,56,"High School",3,"SW",4,"Suburban",2,"$30,000 to $39,999",2,34000,1
11,208,18,0,0,4,0,1,0,2,1,1,2,0,0,0,0,0,4,2,0,1,10,0,0,4,0,2,0,3,1,4,1,0,0,0,0,0,3,4,0,1,2,0,0,3,0,2,0,1,2,4,2,0,0,0,0,0,1,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Utility",4,2003,4,"101 To 150 Miles",3,150,"Under 10%",1,5,"Never",3,"Female",1,"50 To 59",4,56,"High School",3,"SW",4,"Suburban",2,"$30,000 to $39,999",2,34000,1
11,209,19,2,1,0,4,0,2,0,1,0,0,1,1,1,0,1,0,0,0,0,2,3,1,0,6,0,3,0,2,0,0,3,2,1,0,2,0,0,0,0,12,1,2,0,6,0,1,0,1,0,0,3,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Utility",4,2003,4,"101 To 150 Miles",3,150,"Under 10%",1,5,"Never",3,"Female",1,"50 To 59",4,56,"High School",3,"SW",4,"Suburban",2,"$30,000 to $39,999",2,34000,1
12,210,1,0,1,1,0,0,2,1,2,2,0,2,0,0,0,1,0,0,1,0,6,0,1,2,0,0,3,2,2,2,0,1,0,0,0,1,0,0,2,0,5,0,1,4,0,0,3,1,1,2,0,2,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,200,"Under 10%",1,10,"Yearly",5,"Female",1,"30 To 39",2,36,"Postgraduate College",4,"W",5,"Suburban",2,"$30,000 to $39,999",2,38000,1
12,213,4,3,1,1,0,1,3,3,0,0,0,0,1,0,0,3,0,2,0,0,10,3,2,5,0,1,2,3,0,0,0,0,2,0,0,2,0,3,0,0,3,2,2,2,0,1,1,3,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,200,"Under 10%",1,10,"Yearly",5,"Female",1,"30 To 39",2,36,"Postgraduate College",4,"W",5,"Suburban",2,"$30,000 to $39,999",2,38000,3
12,215,6,0,0,1,3,0,1,0,1,0,1,0,0,2,0,3,3,0,1,0,3,0,0,1,5,0,2,0,2,0,1,0,0,3,0,2,2,0,1,0,10,0,0,5,5,0,1,0,2,0,2,0,0,1,0,3,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,200,"Under 10%",1,10,"Yearly",5,"Female",1,"30 To 39",2,36,"Postgraduate College",4,"W",5,"Suburban",2,"$30,000 to $39,999",2,38000,1
12,218,9,0,0,0,6,1,2,3,0,0,0,3,0,4,2,0,0,2,2,0,8,0,0,0,6,2,2,3,0,0,0,3,0,2,1,0,0,3,3,0,12,0,0,0,6,1,2,1,0,0,0,3,0,1,3,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,200,"Under 10%",1,10,"Yearly",5,"Female",1,"30 To 39",2,36,"Postgraduate College",4,"W",5,"Suburban",2,"$30,000 to $39,999",2,38000,1
12,221,12,2,0,0,0,2,0,0,1,0,0,3,0,4,1,3,4,0,1,0,3,3,0,0,0,1,0,0,1,0,0,1,0,3,2,3,2,0,2,0,9,3,0,0,0,2,0,0,1,0,0,1,0,3,2,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,200,"Under 10%",1,10,"Yearly",5,"Female",1,"30 To 39",2,36,"Postgraduate College",4,"W",5,"Suburban",2,"$30,000 to $39,999",2,38000,3
