"Choice","Price3","Price2","Price1","agea","incomea","milesa","nighta","year","yearind","incomebins","miles","milesind","nightind","night","pparkind","ppark","segment","segmentind","region","regionind","BU3"
1,5,12,4,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,2
4,11,2,6,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,0
2,11,12,7,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,1
1,6,10,10,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,1
1,11,9,4,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,1
3,3,8,11,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,0
2,7,9,7,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,6
1,11,2,10,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,0
2,2,1,9,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,5
2,12,1,11,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,0
3,2,7,2,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,2
2,10,1,12,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,6
4,4,10,5,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,0
1,8,7,1,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,3
3,5,5,11,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,0
4,7,4,12,45,35000,160,2,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",3,"Never","Small Car",6,"SE",3,0
3,7,12,11,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,0
2,3,4,4,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,0
3,3,5,7,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,3
4,11,10,10,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,0
2,5,3,7,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,3
4,9,9,11,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,0
1,5,3,1,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,1
3,4,1,12,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,3
3,4,5,10,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,0
2,2,3,12,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,0
3,2,10,3,40,165000,750,10,2000,1,"16","Over 400 Miles",9,1,"Under 10%",4,"Weekly","Small Car",6,"SE",3,0
3,7,12,11,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,0
1,6,12,10,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,3
1,11,11,5,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,3
2,12,3,5,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,0
4,4,2,12,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,5
4,1,12,4,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,0
2,4,8,5,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,5
4,2,12,8,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,0
3,4,9,7,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,3
1,11,12,7,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,0
2,4,4,7,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,5
2,12,5,6,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,0
2,12,7,12,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,4
3,3,3,11,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,0
1,12,6,1,56,28000,50,20,2005,6,"2","Under 50 Miles",1,2,"10% To 20%",3,"Never","Full-size Pickup",1,"MW",1,0
1,10,10,6,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,5
3,9,10,5,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,6
2,5,8,8,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
3,8,3,6,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
2,11,6,12,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
4,10,12,4,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
4,2,2,12,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
1,3,11,4,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
2,8,1,3,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,2
3,12,11,10,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,2
1,5,2,11,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,3
2,6,9,6,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
2,2,6,10,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
1,6,8,6,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,0
2,11,1,2,20,60000,100,42,2002,3,"6","51 To 100 Miles",2,5,"41% To 50%",3,"Never","Small Car",6,"MW",1,2
3,5,8,11,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,0
2,2,4,11,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,0
2,1,3,8,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,2
1,10,7,7,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,0
3,6,2,6,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,5
2,9,2,5,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,0
2,12,6,11,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,2
2,7,8,7,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,6
1,3,6,3,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,0
2,12,3,3,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,0
2,6,2,8,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,2
1,10,4,4,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,0
3,5,7,5,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,2
3,1,10,10,40,25000,25,40,2003,4,"2","Under 50 Miles",1,4,"31% To 40%",2,"Monthly","Midsize Car",2,"W",5,3
1,10,12,2,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,4
1,10,10,6,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,0
1,5,8,1,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,0
3,4,11,12,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,0
1,9,8,2,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,4
3,2,7,4,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,1
3,4,12,12,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,0
3,3,11,12,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,4
4,4,7,3,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,5
4,9,6,7,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,5
4,7,10,11,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,0
4,12,4,5,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,0
4,6,7,5,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,2
2,3,5,8,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,6
3,11,3,5,22,50000,50,30,2005,6,"5","Under 50 Miles",1,3,"21% To 30%",1,"Daily","Prestige Luxury Sedan",5,"W",5,6
1,11,8,8,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,0
3,2,2,7,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,0
1,7,6,2,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,0
3,3,6,6,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,4
1,11,5,4,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,2
2,12,1,4,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,2
2,8,4,12,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,0
4,8,10,5,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,0
4,7,7,4,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,5
2,1,1,11,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,0
3,6,7,8,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,3
2,7,1,12,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,0
1,7,6,1,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,1
4,10,10,8,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,2
4,7,7,4,45,98000,120,40,2004,5,"9","101 To 150 Miles",3,4,"31% To 40%",2,"Monthly","Full-size Pickup",1,"SE",3,0
1,5,5,6,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,3
2,7,1,11,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,4
3,4,4,11,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,3
1,6,7,1,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
4,11,11,8,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
1,7,6,5,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
4,10,12,12,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
4,8,11,8,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,3
3,1,11,7,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
3,1,5,11,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,6
2,12,1,4,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,5
3,1,2,8,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
2,10,1,2,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
1,7,8,1,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
2,6,4,2,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,4
3,4,10,3,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,0
1,9,4,5,22,38000,500,75,2004,5,"3","Over 400 Miles",9,8,"71% To 80%",1,"Daily","Full-size Pickup",1,"MW",1,4
2,5,6,1,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
3,5,5,8,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,6
3,5,2,4,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,3
1,5,2,8,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
3,7,4,3,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
1,12,2,9,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,6
1,9,1,5,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
3,7,1,6,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,1
1,4,9,2,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
2,8,9,12,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,1
2,5,7,8,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
3,2,12,2,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,6
2,12,9,1,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
3,5,12,8,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,4
1,4,12,7,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
1,11,3,6,56,34000,150,5,2003,4,"3","101 To 150 Miles",3,1,"Under 10%",3,"Never","Midsize Utility",4,"SW",4,0
2,1,1,3,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,5
3,1,6,7,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,4
1,7,3,6,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,0
3,4,12,9,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,0
3,3,5,9,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,5
2,9,5,9,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,0
2,8,12,4,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,6
3,6,11,9,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,0
1,3,9,3,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,3
3,10,8,10,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,5
1,8,10,6,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,0
3,6,7,11,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,0
1,12,3,11,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,4
1,10,8,4,36,38000,200,10,2002,3,"3","151 To 200 Miles",4,1,"Under 10%",5,"Yearly","Small Car",6,"W",5,0
4,2,1,12,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
4,10,6,4,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,2
4,8,7,2,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,3
4,12,6,3,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
4,5,10,4,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
4,11,12,6,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
4,8,8,5,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
4,10,6,7,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
3,1,12,2,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
4,5,11,10,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,5
4,9,2,3,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
4,2,12,9,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,4
4,6,2,2,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
4,7,9,3,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,5
2,5,1,10,31,55000,50,50,2004,5,"5","Under 50 Miles",1,5,"41% To 50%",3,"Never","Midsize Car",2,"SW",4,0
